epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
31,23597.9,1.53254,0.89438,0.96858,0.50817,0.35329,0.35144,0.16667,1.48109,0.82036,0.94651,0.000289884,0.000289884,0.000289884
32,24751.6,1.5196,0.88351,0.96654,0.51374,0.35157,0.35357,0.16796,1.4799,0.81692,0.94642,0.000275747,0.000275747,0.000275747
33,25908.8,1.51748,0.87918,0.96763,0.50942,0.35723,0.35604,0.16892,1.47596,0.8151,0.94634,0.00026161,0.00026161,0.00026161
34,27055,1.51274,0.87598,0.96395,0.5106,0.36001,0.35698,0.16966,1.47149,0.81091,0.94472,0.000247472,0.000247472,0.000247472
35,28216.4,1.49953,0.8713,0.96251,0.51711,0.35853,0.35811,0.17016,1.46844,0.81065,0.94252,0.000233335,0.000233335,0.000233335
36,29375.5,1.49989,0.86955,0.96236,0.50375,0.36139,0.35675,0.16862,1.47089,0.81059,0.944,0.000219198,0.000219198,0.000219198
37,30535.5,1.50604,0.86845,0.96161,0.51484,0.35975,0.35921,0.17074,1.46674,0.80762,0.94444,0.000205061,0.000205061,0.000205061
38,31691,1.50049,0.86707,0.95885,0.51642,0.36032,0.35821,0.17098,1.46305,0.80439,0.94104,0.000190924,0.000190924,0.000190924
39,32840.3,1.49532,0.86025,0.95897,0.51422,0.36105,0.36027,0.17228,1.45813,0.79911,0.93979,0.000176786,0.000176786,0.000176786
40,33989.1,1.49509,0.86078,0.95582,0.51953,0.35977,0.36155,0.17263,1.45633,0.79797,0.94025,0.000162649,0.000162649,0.000162649
41,35118.1,1.49196,0.82987,0.94447,0.51778,0.35847,0.36036,0.17266,1.45776,0.79909,0.94075,0.000148512,0.000148512,0.000148512
42,36247.8,1.48874,0.82326,0.94117,0.51499,0.36188,0.36196,0.17299,1.45917,0.79683,0.93947,0.000134375,0.000134375,0.000134375
43,37376.1,1.48651,0.81854,0.93934,0.51378,0.36281,0.36276,0.17386,1.45859,0.79571,0.93872,0.000120238,0.000120238,0.000120238
44,38510.3,1.47726,0.81475,0.93901,0.51736,0.3605,0.36289,0.17386,1.45608,0.79445,0.93798,0.0001061,0.0001061,0.0001061
45,39639.3,1.47181,0.81063,0.93686,0.51875,0.36184,0.3651,0.17455,1.45396,0.79182,0.9375,9.19632e-05,9.19632e-05,9.19632e-05
46,40768.6,1.47078,0.80952,0.93634,0.5201,0.36513,0.36606,0.17513,1.45155,0.78979,0.93768,7.7826e-05,7.7826e-05,7.7826e-05
47,41893.1,1.47229,0.80574,0.93328,0.51918,0.36595,0.36681,0.17546,1.45219,0.79089,0.93664,6.36888e-05,6.36888e-05,6.36888e-05
48,43026.3,1.46497,0.80281,0.93501,0.52091,0.36471,0.36733,0.17577,1.45134,0.78813,0.93697,4.95516e-05,4.95516e-05,4.95516e-05
49,44166.7,1.46592,0.80246,0.93517,0.51916,0.3662,0.36754,0.17609,1.44943,0.78672,0.93621,3.54144e-05,3.54144e-05,3.54144e-05
50,45306,1.46209,0.79813,0.93225,0.52373,0.36414,0.36832,0.17665,1.44955,0.78662,0.93603,2.12772e-05,2.12772e-05,2.12772e-05
