epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1962.88,1.58371,1.01678,1.02095,0.50744,0.37411,0.37616,0.17709,1.52316,0.93706,0.99405,0.000237879,0.000237879,0.000237879
2,3780.91,1.59482,1.02864,1.02933,0.48803,0.35997,0.36003,0.173,1.53647,0.96312,1.0014,0.000466457,0.000466457,0.000466457
3,5586.54,1.60674,1.03969,1.03215,0.49543,0.35554,0.35717,0.16951,1.54893,0.97692,1.00445,0.00068561,0.00068561,0.00068561
4,7374.77,1.6212,1.04585,1.03638,0.50126,0.37048,0.36876,0.1755,1.53964,0.94905,1.00405,0.000671588,0.000671588,0.000671588
5,9177.83,1.60326,1.03251,1.03067,0.52373,0.3694,0.37537,0.17762,1.53131,0.93842,1.00177,0.000657451,0.000657451,0.000657451
6,10973.5,1.58698,1.01207,1.02736,0.50582,0.38321,0.37788,0.1801,1.52452,0.92888,0.99984,0.000643314,0.000643314,0.000643314
7,12745.9,1.58106,1.00522,1.02522,0.509,0.382,0.38051,0.18074,1.5067,0.9151,0.99812,0.000629177,0.000629177,0.000629177
8,14532.1,1.57195,0.99448,1.02118,0.52234,0.38893,0.38979,0.18516,1.50771,0.91488,0.99582,0.00061504,0.00061504,0.00061504
9,16556.2,1.55798,0.98056,1.01585,0.53136,0.38209,0.3935,0.18447,1.50456,0.90973,0.98953,0.000600902,0.000600902,0.000600902
10,18823.4,1.56083,0.97645,1.01877,0.53596,0.39473,0.40108,0.19157,1.49028,0.89538,0.98649,0.000586765,0.000586765,0.000586765
11,21183.4,1.54483,0.96788,1.01291,0.53516,0.3881,0.39871,0.19019,1.48064,0.88805,0.98832,0.000572628,0.000572628,0.000572628
12,1420.23,1.75151,1.08605,1.16776,0.48341,0.32235,0.31105,0.144,1.60982,0.91973,1.09306,0.000558491,0.000558491,0.000558491
13,2631.81,1.65718,0.98507,1.10433,0.48896,0.32369,0.31514,0.14642,1.59983,0.91024,1.08009,0.000544354,0.000544354,0.000544354
14,3798.08,1.6357,0.96264,1.09428,0.47354,0.32089,0.31174,0.14591,1.5815,0.88836,1.06749,0.000530216,0.000530216,0.000530216
15,4983.78,1.63071,0.95879,1.08176,0.4837,0.32793,0.31909,0.15021,1.55726,0.88065,1.03973,0.000516079,0.000516079,0.000516079
16,6176.11,1.60905,0.95176,1.06383,0.48036,0.33101,0.32139,0.15032,1.5383,0.86346,1.02269,0.000501942,0.000501942,0.000501942
17,7342.58,1.58268,0.9361,1.04631,0.48201,0.33146,0.31916,0.15252,1.5154,0.85599,1.00671,0.000487805,0.000487805,0.000487805
18,8478.2,1.57581,0.92721,1.03657,0.48833,0.33835,0.32761,0.15482,1.50692,0.84666,0.99934,0.000473668,0.000473668,0.000473668
19,9598.1,1.57309,0.93279,1.02081,0.4758,0.34131,0.32973,0.15602,1.52342,0.86813,0.98264,0.00045953,0.00045953,0.00045953
20,10879.8,1.57741,0.93797,1.00251,0.50322,0.3404,0.33648,0.15925,1.51737,0.85816,0.97368,0.000445393,0.000445393,0.000445393
21,12064.4,1.57529,0.93511,0.99897,0.48555,0.34579,0.33533,0.15778,1.5193,0.85717,0.96809,0.000431256,0.000431256,0.000431256
22,13215.5,1.56644,0.92599,0.99007,0.4846,0.34535,0.33578,0.16007,1.5051,0.85024,0.96416,0.000417119,0.000417119,0.000417119
23,14370.9,1.55705,0.92552,0.98979,0.50744,0.34437,0.34246,0.1613,1.5057,0.84417,0.96111,0.000402982,0.000402982,0.000402982
24,15522.9,1.56683,0.92776,0.98856,0.49636,0.34668,0.34232,0.162,1.49948,0.83989,0.9573,0.000388844,0.000388844,0.000388844
25,16682.4,1.54956,0.91138,0.98046,0.49292,0.34942,0.34244,0.16276,1.49754,0.83524,0.9532,0.000374707,0.000374707,0.000374707
26,17837.4,1.54721,0.90995,0.97576,0.49709,0.34682,0.3416,0.1624,1.49468,0.83789,0.9547,0.00036057,0.00036057,0.00036057
27,18993.9,1.54448,0.90981,0.97703,0.48909,0.3452,0.33916,0.16262,1.49432,0.8359,0.95131,0.000346433,0.000346433,0.000346433
28,20147.9,1.53732,0.89828,0.97423,0.50054,0.34804,0.34609,0.16368,1.48931,0.83024,0.94874,0.000332296,0.000332296,0.000332296
29,21296.6,1.53317,0.89102,0.97283,0.49941,0.35364,0.34877,0.16597,1.48401,0.82576,0.95011,0.000318158,0.000318158,0.000318158
30,22450,1.5234,0.88975,0.97162,0.50701,0.35037,0.34816,0.1663,1.48352,0.82034,0.94858,0.000304021,0.000304021,0.000304021
