epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2887.65,1.8199,1.66692,1.09598,0.40822,0.29448,0.27264,0.13005,1.67975,1.21732,1.04652,0.000237879,0.000237879,0.000237879
2,8188.62,1.71247,1.19594,1.05941,0.42478,0.31803,0.29528,0.14067,1.66159,1.11968,1.04588,0.000428767,0.000428767,0.000428767
3,10175.3,1.6782,1.11865,1.04646,0.46883,0.33052,0.31944,0.15222,1.60289,1.05157,1.02232,0.000572531,0.000572531,0.000572531
4,22860,1.64355,1.0716,1.03305,0.46579,0.34868,0.33548,0.15914,1.57271,1.01302,1.01494,0.000501942,0.000501942,0.000501942
5,24595.4,1.61742,1.03236,1.02491,0.49377,0.35775,0.35601,0.16988,1.55376,0.96426,1.00064,0.000431256,0.000431256,0.000431256
6,1814.79,1.66397,0.99739,0.98777,0.4372,0.29763,0.28194,0.13337,1.59755,0.94076,0.97408,0.00036057,0.00036057,0.00036057
7,3410.04,1.63921,0.97279,0.97919,0.46422,0.30333,0.29334,0.13868,1.57409,0.92061,0.96695,0.000289884,0.000289884,0.000289884
8,4963.5,1.61728,0.95092,0.97324,0.44997,0.31126,0.29959,0.14259,1.55812,0.90236,0.96219,0.000219198,0.000219198,0.000219198
9,6416.79,1.59415,0.92899,0.96486,0.47017,0.31597,0.30814,0.14607,1.55463,0.89591,0.95959,0.000148512,0.000148512,0.000148512
10,7815.29,1.574,0.91162,0.96035,0.4707,0.31776,0.31192,0.14943,1.52756,0.87485,0.95334,7.7826e-05,7.7826e-05,7.7826e-05
