epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.513,1.39364,5.13037,1.51762,0,0,0,0,1.18962,5.42832,1.31283,4.68e-06,4.68e-06,4.68e-06
2,221.231,1.38708,5.10431,1.52338,0,0,0,0,1.17479,5.41741,1.29708,9.93923e-06,9.93923e-06,9.93923e-06
3,319.48,1.26265,5.06141,1.48281,0,0,0,0,1.18346,5.3961,1.3099,1.49822e-05,1.49822e-05,1.49822e-05
4,412.808,1.20967,5.08536,1.43868,0,0,0,0,1.15257,5.38113,1.30457,1.9809e-05,1.9809e-05,1.9809e-05
5,508.391,1.26,5.0588,1.46206,0,0,0,0,1.11614,5.3625,1.30798,2.44196e-05,2.44196e-05,2.44196e-05
6,602.283,1.21751,5.05258,1.43171,0,0,0,0,1.09784,5.36315,1.30504,2.8814e-05,2.8814e-05,2.8814e-05
7,697.899,1.15849,5.02585,1.40689,0,0,0,0,1.08668,5.35728,1.29451,3.29921e-05,3.29921e-05,3.29921e-05
8,1881.24,1.21125,5.01053,1.45135,0,0,0,0,1.08876,5.35551,1.28571,3.69541e-05,3.69541e-05,3.69541e-05
9,2026.15,1.07867,4.93261,1.42812,0,0,0,0,1.11019,5.33583,1.29692,4.06998e-05,4.06998e-05,4.06998e-05
10,2120.54,1.07023,4.91428,1.40744,0,0,0,0,1.1195,5.33108,1.30211,4.42293e-05,4.42293e-05,4.42293e-05
11,2220.25,1.09108,4.92134,1.40925,0,0,0,0,1.13811,5.32424,1.31689,4.75426e-05,4.75426e-05,4.75426e-05
12,2317.1,1.12212,4.92694,1.38822,0,0,0,0,1.16278,5.31164,1.32572,5.06396e-05,5.06396e-05,5.06396e-05
13,2419.37,1.05389,4.87873,1.3746,0,0,0,0,1.15942,5.30989,1.32248,5.35205e-05,5.35205e-05,5.35205e-05
14,2534.54,1.02605,4.83863,1.36078,0,0,0,0,1.16169,5.29349,1.31954,5.61851e-05,5.61851e-05,5.61851e-05
15,2632.85,1.04316,4.80783,1.37087,0,0,0,0,1.17022,5.26534,1.33632,5.63784e-05,5.63784e-05,5.63784e-05
16,2729.08,1.09719,4.80261,1.38225,0.00417,0.04167,0.04146,0.01244,1.17384,5.24774,1.33507,5.4834e-05,5.4834e-05,5.4834e-05
17,2826.03,1.03374,4.72856,1.39155,0.04464,0.0625,0.07271,0.04056,1.17891,5.22652,1.34213,5.32896e-05,5.32896e-05,5.32896e-05
18,2921.23,1.04824,4.6915,1.36331,0.01587,0.0625,0.06562,0.03419,1.19102,5.20677,1.35695,5.17452e-05,5.17452e-05,5.17452e-05
19,3018.09,1.04325,4.68357,1.35748,0.02938,0.07639,0.07488,0.04067,1.20456,5.1662,1.35919,5.02008e-05,5.02008e-05,5.02008e-05
20,3118.72,0.99101,4.66504,1.37477,0.04935,0.09549,0.09572,0.05543,1.2138,5.12774,1.36772,4.86564e-05,4.86564e-05,4.86564e-05
21,3214.88,1.009,4.56956,1.35497,0.03968,0.09549,0.09222,0.05332,1.21343,5.10775,1.37146,4.7112e-05,4.7112e-05,4.7112e-05
22,3308.26,0.98544,4.54742,1.35015,0.07024,0.11632,0.09909,0.06523,1.23941,5.06875,1.3929,4.55676e-05,4.55676e-05,4.55676e-05
23,3405.81,1.02181,4.53714,1.36511,0.1255,0.16096,0.15939,0.10116,1.25686,5.04649,1.39721,4.40232e-05,4.40232e-05,4.40232e-05
24,3498.5,1.02075,4.49947,1.34703,0.08027,0.1818,0.14975,0.09164,1.26773,5.02309,1.39862,4.24788e-05,4.24788e-05,4.24788e-05
25,3590.1,1.03569,4.43253,1.37839,0.07623,0.18477,0.12992,0.08583,1.2578,5.01586,1.3959,4.09344e-05,4.09344e-05,4.09344e-05
26,3687.63,1.09604,4.43107,1.39526,0.07008,0.18477,0.15043,0.09791,1.24603,4.98461,1.39089,3.939e-05,3.939e-05,3.939e-05
27,3781.47,1.06436,4.39332,1.37397,0.382,0.10938,0.14239,0.09137,1.24361,4.96573,1.39013,3.78456e-05,3.78456e-05,3.78456e-05
28,3872.22,1.03305,4.37011,1.35592,0.52559,0.10938,0.13981,0.08925,1.22019,4.94188,1.37968,3.63012e-05,3.63012e-05,3.63012e-05
29,3962.38,1.04303,4.37935,1.37372,0.51827,0.10938,0.15245,0.0892,1.22829,4.92298,1.38305,3.47568e-05,3.47568e-05,3.47568e-05
30,4055.41,1.05641,4.34655,1.39356,0.54774,0.10938,0.15372,0.09333,1.23656,4.89877,1.38314,3.32124e-05,3.32124e-05,3.32124e-05
31,4147.75,1.0377,4.27817,1.37067,0.52344,0.10938,0.16219,0.09735,1.22605,4.88436,1.37358,3.1668e-05,3.1668e-05,3.1668e-05
32,4245.69,1.05359,4.27602,1.38825,0.51967,0.10938,0.15686,0.08911,1.23017,4.87331,1.38213,3.01236e-05,3.01236e-05,3.01236e-05
33,4372.47,1.06067,4.21442,1.36814,0.52473,0.10938,0.15134,0.08486,1.23098,4.86649,1.38238,2.85792e-05,2.85792e-05,2.85792e-05
34,4476.62,1.02246,4.27587,1.37107,0.52349,0.10938,0.15195,0.08588,1.22888,4.85311,1.38757,2.70348e-05,2.70348e-05,2.70348e-05
35,4570.7,1.0292,4.18045,1.37671,0.52641,0.10938,0.14992,0.08476,1.2347,4.8369,1.38982,2.54904e-05,2.54904e-05,2.54904e-05
36,4665.29,1.05298,4.12936,1.37461,0.53072,0.10938,0.15517,0.08781,1.24129,4.83436,1.39278,2.3946e-05,2.3946e-05,2.3946e-05
37,4755.63,1.01261,4.11314,1.36167,0.47761,0.11136,0.14708,0.0867,1.24074,4.82884,1.38949,2.24016e-05,2.24016e-05,2.24016e-05
38,4848.95,1.03514,4.10908,1.38684,0.48042,0.11326,0.1485,0.08772,1.24832,4.81902,1.39396,2.08572e-05,2.08572e-05,2.08572e-05
39,4938.23,1.00731,4.18436,1.393,0.43873,0.11305,0.14914,0.09011,1.2542,4.8087,1.40031,1.93128e-05,1.93128e-05,1.93128e-05
40,5027.9,1.09254,4.16093,1.39765,0.05814,0.21602,0.1537,0.09345,1.2459,4.80566,1.3909,1.77684e-05,1.77684e-05,1.77684e-05
41,5117.79,1.20996,4.16006,1.46122,0.05126,0.21602,0.12921,0.08303,1.22162,4.78117,1.37199,1.6224e-05,1.6224e-05,1.6224e-05
42,5207.74,1.22721,4.09501,1.49701,0.53998,0.10938,0.14064,0.08683,1.22065,4.76311,1.36618,1.46796e-05,1.46796e-05,1.46796e-05
43,5295.9,1.20644,4.14061,1.49303,0.54186,0.10938,0.14131,0.08516,1.2367,4.73192,1.38134,1.31352e-05,1.31352e-05,1.31352e-05
44,5384.11,1.19132,4.13547,1.48719,0.54855,0.10938,0.14082,0.08387,1.23819,4.70838,1.3837,1.15908e-05,1.15908e-05,1.15908e-05
45,5478.81,1.19094,4.0559,1.4712,0.55174,0.10938,0.14148,0.084,1.24787,4.69033,1.38676,1.00464e-05,1.00464e-05,1.00464e-05
46,5570.18,1.16676,3.96557,1.44757,0.63473,0.10879,0.14053,0.08242,1.25576,4.6764,1.39397,8.502e-06,8.502e-06,8.502e-06
